varjo_timestamp,varjo_timestamp_unix,system_timestamp_utc,sytem_timestamp_local
1000008896649598600,1771758882891810000,2026-02-22_11:14:42.891,2026-02-22_20:14:42.891
1000008896750050400,1771758882992261800,2026-02-22_11:14:42.992,2026-02-22_20:14:42.992
1000008896850186600,1771758883092398000,2026-02-22_11:14:43.092,2026-02-22_20:14:43.092
1000008896950323300,1771758883192534700,2026-02-22_11:14:43.192,2026-02-22_20:14:43.192
1000008897050487000,1771758883292698400,2026-02-22_11:14:43.292,2026-02-22_20:14:43.292
1000008897150665100,1771758883392876500,2026-02-22_11:14:43.392,2026-02-22_20:14:43.392
1000008897250802700,1771758883493014100,2026-02-22_11:14:43.493,2026-02-22_20:14:43.493
1000008897350963400,1771758883593174800,2026-02-22_11:14:43.593,2026-02-22_20:14:43.593
1000008897451112100,1771758883693323500,2026-02-22_11:14:43.693,2026-02-22_20:14:43.693
1000008897551267700,1771758883793479100,2026-02-22_11:14:43.793,2026-02-22_20:14:43.793
1000008897651420600,1771758883893632000,2026-02-22_11:14:43.893,2026-02-22_20:14:43.893
1000008897751576300,1771758883993787700,2026-02-22_11:14:43.993,2026-02-22_20:14:43.993
1000008897851721800,1771758884093933200,2026-02-22_11:14:44.093,2026-02-22_20:14:44.093
1000008897951867000,1771758884194078400,2026-02-22_11:14:44.194,2026-02-22_20:14:44.194
1000008898052016300,1771758884294227700,2026-02-22_11:14:44.294,2026-02-22_20:14:44.294
1000008898152203300,1771758884394414700,2026-02-22_11:14:44.394,2026-02-22_20:14:44.394
1000008898252842600,1771758884495054000,2026-02-22_11:14:44.495,2026-02-22_20:14:44.495
1000008898352959700,1771758884595171100,2026-02-22_11:14:44.595,2026-02-22_20:14:44.595
1000008898453109700,1771758884695321100,2026-02-22_11:14:44.695,2026-02-22_20:14:44.695
1000008898553234700,1771758884795446100,2026-02-22_11:14:44.795,2026-02-22_20:14:44.795
1000008898653452900,1771758884895664300,2026-02-22_11:14:44.895,2026-02-22_20:14:44.895
1000008898753648300,1771758884995859700,2026-02-22_11:14:44.995,2026-02-22_20:14:44.995
1000008898853854900,1771758885096066300,2026-02-22_11:14:45.096,2026-02-22_20:14:45.096
1000008898954004800,1771758885196216200,2026-02-22_11:14:45.196,2026-02-22_20:14:45.196
1000008899054124800,1771758885296336200,2026-02-22_11:14:45.296,2026-02-22_20:14:45.296
1000008899154240100,1771758885396451500,2026-02-22_11:14:45.396,2026-02-22_20:14:45.396
1000008899254347400,1771758885496558800,2026-02-22_11:14:45.496,2026-02-22_20:14:45.496
1000008899354485200,1771758885596696600,2026-02-22_11:14:45.596,2026-02-22_20:14:45.596
1000008899454628400,1771758885696839800,2026-02-22_11:14:45.696,2026-02-22_20:14:45.696
1000008899554740400,1771758885796951800,2026-02-22_11:14:45.796,2026-02-22_20:14:45.796
1000008899654868900,1771758885897080300,2026-02-22_11:14:45.897,2026-02-22_20:14:45.897
1000008899755003100,1771758885997214500,2026-02-22_11:14:45.997,2026-02-22_20:14:45.997
1000008899855123800,1771758886097335200,2026-02-22_11:14:46.097,2026-02-22_20:14:46.097
1000008899955268300,1771758886197479700,2026-02-22_11:14:46.197,2026-02-22_20:14:46.197
1000008900055461900,1771758886297673300,2026-02-22_11:14:46.297,2026-02-22_20:14:46.297
1000008900155651700,1771758886397863100,2026-02-22_11:14:46.397,2026-02-22_20:14:46.397
1000008900255870000,1771758886498081400,2026-02-22_11:14:46.498,2026-02-22_20:14:46.498
1000008900356011800,1771758886598223200,2026-02-22_11:14:46.598,2026-02-22_20:14:46.598
1000008900456162100,1771758886698373500,2026-02-22_11:14:46.698,2026-02-22_20:14:46.698
